lat,lon,brightness,scan,track,acq_date,acq_time,satellite,instrument,confidence,version,bright_t31,frp,daynight,type
51.592445,8.333781,308.86,0.44,0.39,2015/11/1,118,N,VIIRS,n,1,273.82,1.07,N,0
51.59597,8.334831,295.79,0.44,0.39,2015/11/1,118,N,VIIRS,n,1,274.21,1.07,N,2
52.323528,-1.824899,298.33,0.37,0.58,2015/11/1,118,N,VIIRS,n,1,280.12,0.41,N,0
52.341423,-2.096555,296,0.38,0.59,2015/11/1,118,N,VIIRS,n,1,280.4,0.48,N,0
51.364735,10.479757,299.08,0.4,0.37,2015/11/1,118,N,VIIRS,n,1,278.49,1.43,N,2
51.6185,8.513228,303.53,0.44,0.38,2015/11/1,118,N,VIIRS,n,1,275.91,0.6,N,0
51.269264,11.662576,310.64,0.39,0.36,2015/11/1,118,N,VIIRS,n,1,278.97,1.22,N,2
51.765045,8.057622,305.36,0.45,0.39,2015/11/1,118,N,VIIRS,n,1,278.13,1.07,N,0
51.85751,8.030939,303.23,0.45,0.39,2015/11/1,118,N,VIIRS,n,1,278.98,1.07,N,2
51.313599,13.270703,296.82,0.39,0.36,2015/11/1,118,N,VIIRS,n,1,275.89,0.83,N,0
50.416233,18.1476,296.62,0.49,0.4,2015/11/1,118,N,VIIRS,n,1,277.6,0.73,N,0
50.421227,18.142784,299.9,0.49,0.4,2015/11/1,118,N,VIIRS,n,1,278.85,1.28,N,2
50.534164,17.981243,296.07,0.48,0.4,2015/11/1,118,N,VIIRS,n,1,278.82,0.69,N,2
52.474567,4.585226,296.37,0.4,0.44,2015/11/1,118,N,VIIRS,n,1,279.85,1.1,N,3
52.482254,4.593154,323.04,0.4,0.44,2015/11/1,118,N,VIIRS,n,1,281.87,1.47,N,3
52.482769,4.587128,335.71,0.4,0.44,2015/11/1,118,N,VIIRS,n,1,282.83,4.22,N,3
52.485851,4.600054,296.14,0.4,0.44,2015/11/1,118,N,VIIRS,n,1,279.98,1.47,N,3
52.484024,4.59299,320,0.4,0.44,2015/11/1,118,N,VIIRS,n,1,281.65,3.09,N,2
52.484505,4.586959,334.17,0.4,0.44,2015/11/1,118,N,VIIRS,n,1,282.64,3.09,N,2
53.133595,8.693119,306.94,0.45,0.39,2015/11/1,118,N,VIIRS,n,1,270.97,1.64,N,2
52.490784,4.612788,327.93,0.4,0.44,2015/11/1,118,N,VIIRS,n,1,281.17,3.35,N,2
52.494884,4.613712,318.44,0.4,0.44,2015/11/1,118,N,VIIRS,n,1,281.52,1.89,N,2
50.337852,19.282782,297.46,0.54,0.42,2015/11/1,118,N,VIIRS,n,1,276.48,0.93,N,2
50.336235,19.29006,331.18,0.54,0.42,2015/11/1,118,N,VIIRS,n,1,276.69,7.82,N,2
50.339947,19.292061,302.67,0.54,0.42,2015/11/1,118,N,VIIRS,n,1,274.76,1,N,2
50.343658,19.29405,296.43,0.54,0.42,2015/11/1,118,N,VIIRS,n,1,274.64,1,N,2
50.336071,19.346882,318.99,0.54,0.42,2015/11/1,118,N,VIIRS,n,1,274.44,1.26,N,0
50.34737,19.296034,316.62,0.54,0.42,2015/11/1,118,N,VIIRS,n,1,277.14,2.38,N,2
50.341412,19.341579,298.87,0.54,0.42,2015/11/1,118,N,VIIRS,n,1,278.23,1.26,N,2
47.790257,28.9557,301.48,0.52,0.67,2015/11/1,118,N,VIIRS,n,1,270.42,1.14,N,2
51.176785,16.115145,334.16,0.42,0.38,2015/11/1,118,N,VIIRS,n,1,280.25,3.27,N,2
52.15036,10.399725,340.76,0.4,0.37,2015/11/1,118,N,VIIRS,n,1,274.61,4.24,N,2
52.152924,10.406773,321.39,0.4,0.37,2015/11/1,118,N,VIIRS,n,1,274.66,5,N,2
